date,GDPC1,UNRATE,unrate_diff,gdp_pct_change
1948-04-01,2276.69,3.7,0.0,1.6523774357252607
1948-07-01,2289.77,3.8,0.09999999999999964,0.5745182699445239
1948-10-01,2292.364,3.8,0.0,0.1132864872891215
1949-01-01,2260.807,4.7,0.9000000000000004,-1.3766138361970492
1949-04-01,2253.128,5.9,1.2000000000000002,-0.33965747629053356
1949-07-01,2276.424,6.7,0.7999999999999998,1.0339403708977013
1949-10-01,2257.352,7.0,0.2999999999999998,-0.8378052594771535
1950-01-01,2346.104,6.4,-0.5999999999999996,3.9316863298236138
1950-04-01,2417.682,5.6,-0.8000000000000007,3.050930393537543
1950-07-01,2511.127,4.6,-1.0,3.865065794426248
1950-10-01,2559.214,4.2,-0.39999999999999947,1.9149569097859143
1951-01-01,2593.967,3.5,-0.7000000000000002,1.3579559974273403
1951-04-01,2638.898,3.1,-0.3999999999999999,1.7321346031001994
1951-07-01,2693.259,3.2,0.10000000000000009,2.0599886770917175
1951-10-01,2699.156,3.4,0.19999999999999973,0.21895406271732476
1952-01-01,2727.954,3.1,-0.2999999999999998,1.0669261057901114
1952-04-01,2733.8,3.0,-0.10000000000000009,0.21429980124298975
1952-07-01,2753.517,3.2,0.20000000000000018,0.7212305216182546
1952-10-01,2843.941,2.8,-0.40000000000000036,3.283945586680592
1953-01-01,2896.811,2.7,-0.09999999999999964,1.8590399730515017
1953-04-01,2919.206,2.6,-0.10000000000000009,0.7730915133917993
1953-07-01,2902.785,2.7,0.10000000000000009,-0.5625159718087858
1953-10-01,2858.845,3.7,1.0,-1.5137187218481563
1954-01-01,2845.192,5.3,1.5999999999999996,-0.4775704873821396
1954-04-01,2848.305,5.8,0.5,0.1094126512375837
1954-07-01,2880.482,6.0,0.20000000000000018,1.1296894117729606
1954-10-01,2936.852,5.3,-0.7000000000000002,1.9569641469726173
1955-01-01,3020.746,4.7,-0.5999999999999996,2.8565961103930393
1955-04-01,3069.91,4.4,-0.2999999999999998,1.627544983921192
1955-07-01,3111.379,4.1,-0.3000000000000007,1.3508213595838425
1955-10-01,3130.068,4.2,0.10000000000000053,0.600666135498118
1956-01-01,3117.922,4.0,-0.20000000000000018,-0.38804268789048857
1956-04-01,3143.694,4.2,0.20000000000000018,0.8265761619437484
1956-07-01,3140.874,4.1,-0.10000000000000053,-0.08970338716173254
1956-10-01,3192.57,4.1,0.0,1.645911297301339
1957-01-01,3213.011,3.9,-0.19999999999999973,0.6402678719652055
1957-04-01,3205.97,4.1,0.19999999999999973,-0.21914023948252925
1957-07-01,3237.386,4.2,0.10000000000000053,0.9799218333296889
1957-10-01,3203.894,4.9,0.7000000000000002,-1.0345383590341206
1958-01-01,3120.724,6.3,1.3999999999999995,-2.595903609794814
1958-04-01,3141.224,7.4,1.1000000000000005,0.6568988478314663
1958-07-01,3213.884,7.3,-0.10000000000000053,2.3131110675329136
1958-10-01,3289.032,6.4,-0.8999999999999995,2.3382300045676763
1959-01-01,3352.129,5.8,-0.6000000000000005,1.9184063882625502
1959-04-01,3427.667,5.1,-0.7000000000000002,2.2534335641617664
1959-07-01,3430.057,5.3,0.20000000000000018,0.06972672666276658
1959-10-01,3439.832,5.6,0.2999999999999998,0.28498068690987477
1960-01-01,3517.181,5.1,-0.5,2.2486272585405365
1960-04-01,3498.246,5.2,0.10000000000000053,-0.5383572810156778
1960-07-01,3515.385,5.5,0.2999999999999998,0.4899312398270572
1960-10-01,3470.278,6.3,0.7999999999999998,-1.283131150642114
1961-01-01,3493.703,6.8,0.5,0.6750179668602918
1961-04-01,3553.021,7.0,0.20000000000000018,1.6978546831256214
1961-07-01,3621.252,6.8,-0.20000000000000018,1.9203657957552078
1961-10-01,3692.289,6.2,-0.5999999999999996,1.961669610399941
1962-01-01,3758.147,5.6,-0.6000000000000005,1.7836631964615934
1962-04-01,3792.149,5.5,-0.09999999999999964,0.9047543909272315
1962-07-01,3838.776,5.6,0.09999999999999964,1.2295666652338832
1962-10-01,3851.421,5.5,-0.09999999999999964,0.32940187184664627
1963-01-01,3893.482,5.8,0.2999999999999998,1.0920904258454156
1963-04-01,3937.183,5.7,-0.09999999999999964,1.122414332466426
1963-07-01,4023.755,5.5,-0.20000000000000018,2.1988309915998316
1963-10-01,4050.147,5.6,0.09999999999999964,0.6559047456915268
1964-01-01,4135.553,5.5,-0.09999999999999964,2.108713584963695
1964-04-01,4180.592,5.2,-0.2999999999999998,1.0890683785215627
1964-07-01,4245.918,5.0,-0.20000000000000018,1.5626016602433346
1964-10-01,4259.046,5.0,0.0,0.30919108659188677
1965-01-01,4362.111,4.9,-0.09999999999999964,2.4199081202691763
1965-04-01,4417.225,4.7,-0.20000000000000018,1.263470828688229
1965-07-01,4515.427,4.4,-0.2999999999999998,2.2231604683935924
1965-10-01,4619.458,4.1,-0.3000000000000007,2.303901712949852
1966-01-01,4731.888,3.9,-0.19999999999999973,2.433835311415322
1966-04-01,4748.046,3.8,-0.10000000000000009,0.3414704659112866
1966-07-01,4788.254,3.8,0.0,0.8468325707038149
1966-10-01,4827.537,3.7,-0.09999999999999964,0.8204034288907813
1967-01-01,4870.299,3.8,0.09999999999999964,0.8857933144789998
1967-04-01,4873.287,3.8,0.0,0.06135146938617275
1967-07-01,4919.392,3.8,0.0,0.9460760263042101
1967-10-01,4956.477,3.9,0.10000000000000009,0.7538533217112953
1968-01-01,5057.553,3.7,-0.19999999999999973,2.0392710386833324
1968-04-01,5142.033,3.6,-0.10000000000000009,1.6703730044944853
1968-07-01,5181.859,3.5,-0.10000000000000009,0.7745185610438465
1968-10-01,5202.212,3.4,-0.10000000000000009,0.39277409902507276
1969-01-01,5283.597,3.4,0.0,1.5644306691076748
1969-04-01,5299.625,3.4,0.0,0.3033539461847701
1969-07-01,5334.6,3.6,0.20000000000000018,0.6599523551194642
1969-10-01,5308.556,3.6,0.0,-0.48820905035055207
1970-01-01,5300.652,4.2,0.6000000000000001,-0.1488917136788115
1970-04-01,5308.164,4.8,0.5999999999999996,0.14171841501762206
1970-07-01,5357.077,5.2,0.40000000000000036,0.9214673849564647
1970-10-01,5299.672,5.8,0.5999999999999996,-1.0715731732062195
1971-01-01,5443.619,5.9,0.10000000000000053,2.716149225838893
1971-04-01,5473.059,5.9,0.0,0.5408166883097643
1971-07-01,5518.072,6.0,0.09999999999999964,0.8224468254407702
